0,1,2,3,4,5,6,7,8,9,10
"[-1.260126558977816, -0.2369342532160874]","[-1.8959374607576165, 1.860923845132794]","[-0.7365552595001024, 1.4444459458203256]","[-1.1464986731594555, 2.255263184000948]","[0.6767978328648754, 2.0552371224824344]","[-1.0073781170039398, 0.37767592184086374]","[-0.4341112674365708, 0.6692093376390955]","[-1.7937806767517854, 2.8036319183586156]","[-0.9136939980662104, 0.09097129394258996]","[-1.2677757010400448, 0.8406242114834102]","[-1.5631244160248052, 1.7278013087093247]"
"[-1.3721653270383627, 2.081330113743748]","[0.726444635199599, 2.03489314088781]","[-1.903740493650988, 2.0]","[-1.4732744339732, 2.3781141044476546]","[0.534008598262231, 2.4571250157473123]","[-0.386255427341432, 1.3437869050827886]","[-1.891391774852884, 6.0]","[-1.890105597825969, 7.0]","[-0.6340915590726713, 2.772867032010119]","[-0.9801227750124618, 1.0244762078778142]","[-1.8886365873419335, 10.0]"
"[-1.6652361597770815, 0.19721363534430636]","[-1.3089787350867124, -0.11871389175130087]","[-0.9963432946315364, 0.933819664281845]","[-0.9238466984362284, 2.562384658425435]","[-0.6959828846623772, 2.282411308590564]","[-1.3137222436748044, 0.4582563508339058]","[-0.9104433282137436, 0.8097207942934292]","[0.1360810913351929, 2.571501155574503]","[-0.0875724960033207, 1.9502776452681974]","[-0.8170173679508834, 1.5039175423960875]","[-1.800471177959752, 0.5303354242830896]"
"[-1.5569939809538509, -0.5538146281740439]","[-0.2195567248675598, 1.8120479342360216]","[-0.5683141189708811, 2.6195281420240533]","[-0.1035644078242013, 0.9140718763687004]","[-0.7005531591429937, 2.479631842778009]","[0.1411846667192799, 1.5616137726254924]","[0.0213341781949979, 1.7183498823083876]","[-1.035906690261493, 0.46187942779986146]","[0.3877287078845685, 2.5092121402123455]","[-0.3788567169557401, 1.1407312374871603]","[1.1677214858907083, 2.33707657777464]"
"[-1.3098750854783592, 0.580869523693702]","[0.4515150940473441, 1.8460961139996526]","[-1.6783074296688505, 0.24176716596864867]","[-0.171972063197759, 2.6864964708527674]","[-1.2809018671664458, -0.021429517321880587]","[-0.4091431170216335, 1.098777208060317]","[-1.3481596278255978, 2.2833582041686]","[-0.9063888479689874, 0.5789092351364244]","[0.558299551211563, 2.3853663619770895]","[-1.196673777974762, 0.7559409049301552]","[-1.8886365873419335, 10.0]"
"[0.2969155927601323, 2.477757642030335]","[0.912400354189551, 2.5095896245503475]","[1.3641485963594848, 2.655228937085329]","[-0.3939397786993089, 1.7322475009572398]","[-0.9487070982214854, 0.44454114797918953]","[-1.3809775753059743, -0.043081901009424106]","[-0.6862770259206534, 2.2837802594900456]","[-1.890105597825969, 7.0]","[-0.8378089441534504, 0.6006860972197867]","[-0.8798309729840275, 1.9308200973891212]","[-1.592815357556112, 1.9253970955380098]"
"[0.1142251943213138, 1.5113327977222446]","[-1.8959374607576165, 1.860923845132794]","[-1.5781185304026124, -0.4678874933450947]","[-0.3608737904504484, 2.747255753241692]","[-1.878924958092792, 4.0]","[-1.655449970462144, 2.085614223623581]","[-1.0134057717112763, 1.3049269788424933]","[0.4031952416394183, 1.7693913608601006]","[-1.408949519648705, 0.9321057316505275]","[-1.8708523255393112, 9.0]","[-0.8831585708395101, 2.3512556972979777]"
"[-0.1421565203228342, 1.856263668346626]","[-1.8959374607576165, 1.860923845132794]","[-0.99241252621217, 1.5577386032542178]","[0.5898513271437466, 2.362205894627356]","[-1.0059031853262157, 1.2119704778054319]","[-1.8983699700603205, 5.0]","[-0.613214834648427, 0.8293597969935562]","[-0.4379287471522781, 2.0070829399562404]","[-0.4583637366010559, 0.5548996797271849]","[1.4565975239850115, 2.791853231829352]","[0.7401780715812992, 2.8331312772198545]"
"[0.9799792978519628, 2.5000520469280163]","[-0.8056759360338049, 1.7765819008821842]","[0.3220789606061378, 1.4788639182344272]","[-1.883187343131268, 3.0]","[-0.2031920161605434, 2.3448019482097453]","[-0.1596147383730644, 2.562919358373933]","[-1.891391774852884, 6.0]","[-1.2813033540989651, 2.7034170416025645]","[-1.1204199077407702, 0.06932706706628056]","[-1.8708523255393112, 9.0]","[0.0726075088836503, 1.8368210477837343]"
"[-0.8185532400836594, 0.25425253408776094]","[-0.2587618531943872, 1.4969533814238127]","[0.2527859274249186, 1.5882010888424436]","[0.867910294135509, 2.120640295391085]","[-1.5012814308136562, 0.8848801484796357]","[1.09230622251244, 2.3362397055921136]","[-0.6108267344514029, 2.510155230417872]","[-0.9518866012903476, 0.23028601100088442]","[-0.5575348394654367, 1.9556439816924627]","[1.2107650094523112, 2.5034458811924685]","[-1.444471369306288, -0.07738679422901917]"
"[-0.8326636386586079, 1.578207348977409]","[-1.448632557502456, 0.7835258545608087]","[-1.0315110441850426, 1.8661292910103555]","[-0.1435883537708879, 0.8714090952843799]","[0.6979515044205286, 2.029447285813913]","[-0.8284265152463339, 0.7882735612335381]","[-1.5654640909449469, 0.43776517748154964]","[-0.3917951204629405, 2.4656786333562133]","[-1.3063817557823405, 2.041597072812144]","[-0.4786740693586552, 0.6591732987476726]","[1.1262256396041437, 2.1974633640827337]"
"[-1.3524995726902718, 0.1753964482238447]","[-1.8959374607576165, 1.860923845132794]","[-1.72156410466919, 1.6351245310520635]","[-0.8132254659455197, 0.7800056006295792]","[-1.4576062206804383, 1.7652620407547088]","[1.301623754348031, 2.624843278932569]","[-1.891391774852884, 6.0]","[-1.7003254160895525, 0.7250469063327682]","[-0.4958650707270771, 1.3028415270489058]","[-1.4020855679783022, 0.4229271490710216]","[-0.9817435792623128, 0.7689658858433572]"
"[-1.8773369788574752, 1.916942970196784]","[-1.5621380884826872, 2.1647428325208544]","[-0.5071522490434837, 1.216918681232265]","[-1.883187343131268, 3.0]","[-1.878924958092792, 4.0]","[-1.8983699700603205, 5.0]","[-0.2360299657179509, 1.6268603542691316]","[-1.5717951017409992, -0.2536906928450462]","[-1.5139940039585913, -0.3257503694013739]","[-1.6630490981131123, -0.25738493227732606]","[-0.9697047430463202, 2.6390144331744736]"
"[-0.4700520002716723, 1.9703995906174363]","[-0.1956507763422689, 2.0571205066696563]","[-1.5739674317152677, 0.9240555113929376]","[-1.883187343131268, 3.0]","[-0.4319623645071325, 2.571600200964241]","[-0.7691644847794551, 1.7843728601134619]","[-1.5278851723647795, 0.8083267314741801]","[-1.3952890495681307, 2.3649590751908436]","[-1.6546843483816545, 0.9570056063333117]","[0.701746292877804, 2.2428211625997587]","[1.0246343843748815, 2.117720492812622]"
"[-1.8773369788574752, 1.916942970196784]","[0.478606753101475, 1.7789575077173214]","[1.3265737092251138, 2.4548440509719516]","[-1.883187343131268, 3.0]","[0.450783326798166, 2.4949835822769986]","[-1.8983699700603205, 5.0]","[-1.891391774852884, 6.0]","[-1.2888769671088829, -0.23463625329989624]","[-1.2488455344464189, 0.05626577061865057]","[0.532976772586439, 2.46378113409869]","[-0.6432795569565842, 2.1928195849954095]"
"[-1.5435888050853532, 0.3799332233377072]","[-1.2809814757035174, 1.966380102832367]","[-0.6423501695987358, 1.963789978014292]","[-0.470007417371049, 1.8915358242887526]","[0.9051512435404262, 2.576744208286671]","[-0.5362137708919001, 1.5445833731713927]","[-1.891391774852884, 6.0]","[-0.1074081766135354, 2.0660172869415447]","[-1.5441418326694971, 1.0401306924549674]","[0.2938626739509715, 2.59620358458206]","[-1.543795887502973, 0.09460847167813402]"
"[-1.3959520719628749, 0.5628892884034471]","[-1.8959374607576165, 1.860923845132794]","[-1.903740493650988, 2.0]","[0.8054593077056723, 2.0407351008193673]","[-1.878924958092792, 4.0]","[0.3015346112564317, 2.445892378665026]","[-1.3804664242750735, 0.4542625797626778]","[-1.0760807729825992, 2.3346790056600195]","[-1.3768114884337783, -0.23959349093713156]","[0.1198187394852303, 1.3443626614468382]","[0.0597173226639541, 2.7655957842798276]"
"[-1.8773369788574752, 1.916942970196784]","[0.093198172683719, 2.2056358760871997]","[-0.1224778265435773, 1.6432857818705342]","[-1.883187343131268, 3.0]","[-1.878924958092792, 4.0]","[-0.8760535147916049, 1.7106615087748693]","[0.2156556990873658, 1.908352397013895]","[-0.9929740155389628, 1.183637680991944]","[-1.386555493104786, 1.5966879615659737]","[-0.3439665110303618, 1.3451740322454635]","[-1.8886365873419335, 10.0]"
"[-1.8773369788574752, 1.916942970196784]","[-1.5430467160040682, 2.6684985470758504]","[-1.5479891494216, 2.3671943521999603]","[-1.883187343131268, 3.0]","[-1.6578827542581105, 0.9428245410415684]","[0.315245410934425, 1.9555226113888684]","[-1.5404588954883978, -0.2279959655296655]","[0.8750575746422999, 1.9102743861244753]","[0.5034142917370961, 2.560591035705823]","[0.4021150964642752, 2.8088683541979456]","[-0.692468752527395, 1.7774835199419896]"
"[-1.3622382667384163, 0.3781012288458774]","[-1.517995570325111, 0.3874234602652409]","[1.0419273543245136, 2.235632846176225]","[0.089432306965403, 1.7456677928698174]","[-1.2674696479888807, 0.9617218769876176]","[-1.4100629338562858, 0.8318921001483105]","[0.6486733831732405, 2.622488613103906]","[-0.209952719437398, 0.9197781789662398]","[-1.8770450581862477, 8.0]","[-1.8708523255393112, 9.0]","[0.055845981227982, 1.6371118660093757]"
